													
		FY 2023				FY 2024				FY 2025			
NMDC GitHub Roadmap		Q1	Q2	Q3	Q4	Q1	Q2	Q3	Q4	Q1	Q2	Q3	Q4
Organization, Management & Governance													
0.1	Update RACI with new staff and roles, and evaluate quarterly to keep updated.	X											
0.2	Establish new Advisory Board with refreshed charge & scope, along with engagement schedule. 	X											
0.3	Develop scope, purview, and membership of the Interagency Executive Committee (IEC) to support coordination efforts and activities to foster community building across agencies, initiatives, and programs		X										
0.4	Governance policy for workflow updates and databases in partnership with User Facilities	X											
0.5	Develop governance model for interactions with SeqCode Initiative		X										
0.6	Develop governance model for interactions with ICTV & virus research community			X									
0.7	Develop governance policy for interactions and development activities with KBase	X											
0.8	Develop governance policy for interactions and development activities with ESS-DIVE	X											
0.9	Revise engagement strategy and develop implementation plan for updated engagement activities, target groups, and metrics to align with strategic intents and product initiatives		X										
0.10	Develop a stakeholder landscape analysis and engagement strategy to mainstream NMDC’s products into the multi-omic microbiome research environment	X											
0.11	Develop a framework to streamline the usability testing activities for all three NMDC products			X									
0.12	Develop a process that includes discovery-based user research methods in addressing key research questions related to NMDC products			X									
0.13	Requirements process established and communicated across the NMDC team. Process will continue to evolve and improve with more feedback and experiences from the team.	X											
0.14	Policy & process for code review, demonstrations, and share work in progress to get feedback from the team and users/researchers.	X											
0.15	Ensure the infrastructure and tech leads have a regular schedule/cadence for code reviews and alignment with overall program goals, such as automation			X									
0.14	Establish a change management process to ensure stability and reliability of changes in production systems in collaboration with with QA/QC lead				X								
0.15	Evaluate and adopt an Agile framework appropriate for large, distributed teams			X									
0.16	Develop monitoring and evaluation (M&E) system to track metrics across the NMDC		X										
0.17	Continuous FAIRness evaluation acros the NMDC		X				X				X		
													
Strategic Intent 1: Implement efficiencies to scale leveraging data from DOE User Facilities													
1.1	Integrate the NMDC Submission Portal into User Facility processes					X							
1.2	Co-develop APIs with the User Facilities in order to access their data and metadata		X										
1.3	Automate ingest of processed data and metadata from the User Facilities			X									
1.4	Implement a dashboard of summary information in the Submission Portal, including embargo checks 								X				
1.5	Establish data sharing process with IMG/M to support NMDC workfow outputs and associated links		X										
1.6	Deploy support for automated data staging (non-JGI/EMSL data)									X			
1.7	Trigger automated workflow execution from orchestration services	X	X										
1.8	Deploy a mechansim for automated ingest of metadata into the NMDC Data Portal		X	X									
1.9	Connect computing sites to the core NMDC Orchestration Services						X						
1.10	Automated backups of production NMDC data 			X									
1.11	Support for submission of data and metadata from NMDC to international repositories (e.g. NCBI)					X							
1.12	Scale current search to support eight orders of magnitude more elements (e.g. functional terms)									X			
1.13	Ingest twice as many elements into Data Portal storage in less than 24 hours			X	X								
1.14	Enable high bandwidth transfer mechanisms for NMDC data					X							
1.15	Deploy CI/CD for automated workflow testing and development	X	X										
Strategic Intent 2: Enable environmental microbiome science with accessible & interoperable data													
2.1	Support flexible approach to study-sample relationships for long-term data collection			X									
2.2	Ongoing support for new MIxS releases (v7, v8, v9)	X				X				X			
